"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"11/08/2022","Point Of Sale Withdrawal SQ *IMMACULATE P COLUMBIA SCUS","Point Of Sale Withdrawal SQ *IMMACULATE P COLUMBIA SCUS","164.14","debit","Hair","Joint Checking Account","",""
"11/07/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","5.34","debit","Transfer","Joint Checking Account","",""
"11/07/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","10.83","debit","Transfer","Joint Checking Account","",""
"11/07/2022","Point Of Sale Withdrawal ZAP*ZAPPOS.COM 800-927-7671 NVUS","Point Of Sale Withdrawal ZAP*ZAPPOS.COM 800-927-7671 NVUS","144.44","debit","Clothing","Joint Checking Account","",""
"11/06/2022","Chick-Fil-A","Point Of Sale Withdrawal CHICK-FIL-A #02678 803-732-1992 SCUS","15.95","debit","Entertainment","Joint Checking Account","",""
"11/05/2022","Point Of Sale Withdrawal WELL PETS VETERINARIRMO SCUS","Point Of Sale Withdrawal WELL PETS VETERINARIRMO SCUS","141.54","debit","Veterinary","Joint Checking Account","",""
"11/05/2022","Point Of Sale Withdrawal PUBLIX LEXINGTON SCUS","Point Of Sale Withdrawal PUBLIX LEXINGTON SCUS","145.74","debit","Groceries","Joint Checking Account","",""
"11/05/2022","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","170.00","debit","Babysitter & Daycare","Joint Checking Account","",""
"11/05/2022","Point Of Sale Withdrawal 14 CARROT WHOLE 5300 SUNSET BLVD LEXINGTON SCUS","Point Of Sale Withdrawal 14 CARROT WHOLE 5300 SUNSET BLVD LEXINGTON SCUS","18.49","debit","Groceries","Joint Checking Account","",""
"11/05/2022","Costco","Point Of Sale Withdrawal COSTCO WHSE #1232 COLUMBIA SCUS","95.87","debit","Groceries Costco","Joint Checking Account","",""
"11/04/2022","Check SERIAL #: 2651","Check SERIAL #: 2651","41.00","debit","Charity","Joint Checking Account","",""
"11/03/2022","Deposit Internet Transfer from *9511 CK","Deposit Internet Transfer from *9511 CK","3071.00","credit","Transfer","Joint Checking Account","",""
"11/02/2022","Point Of Sale Withdrawal AMZNFreeTime*Hx2888-802-3080 WAUS","Point Of Sale Withdrawal AMZNFreeTime*Hx2888-802-3080 WAUS","5.29","debit","Entertainment","Joint Checking Account","",""
"11/02/2022","Point Of Sale Withdrawal Prime Video*H25H59Z888-802-3080 WAUS","Point Of Sale Withdrawal Prime Video*H25H59Z888-802-3080 WAUS","8.55","debit","Movies & DVDs","Joint Checking Account","",""
"11/02/2022","Point Of Sale Withdrawal SOUTHERNMED PEDIATRLEXINGTON SCUS","Point Of Sale Withdrawal SOUTHERNMED PEDIATRLEXINGTON SCUS","14.00","debit","Doctor","Joint Checking Account","",""
"11/01/2022","Point Of Sale Withdrawal 7-ELEVEN 5229 Sunset Blvd Lexington SCUS","Point Of Sale Withdrawal 7-ELEVEN 5229 Sunset Blvd Lexington SCUS","39.34","debit","Fast Food","Joint Checking Account","",""
"11/01/2022","External Withdrawal PAYPAL x1031PPZD0O - INST XFER","External Withdrawal PAYPAL x1031PPZD0O - INST XFER","120.37","debit","Transfer","Joint Checking Account","",""
"11/01/2022","Point Of Sale Withdrawal CAROLINA AQUATICS WWW.TEAMUNIFY SCUS","Point Of Sale Withdrawal CAROLINA AQUATICS WWW.TEAMUNIFY SCUS","321.70","debit","Kids Activities","Joint Checking Account","",""
"10/31/2022","Point Of Sale Deposit COSTCO WHSE #1232 COLUMBIA SCUS","Point Of Sale Deposit COSTCO WHSE #1232 COLUMBIA SCUS","23.74","credit","Transfer","Joint Checking Account","",""
"10/30/2022","Point Of Sale Withdrawal RUSHS 3 WEST COLUMBIA SCUS","Point Of Sale Withdrawal RUSHS 3 WEST COLUMBIA SCUS","35.18","debit","Fast Food","Joint Checking Account","",""
"10/30/2022","Target","Point Of Sale Withdrawal TARGET T-1199 134 Harbison Blvd Columbia SCUS","30.11","debit","Target","Joint Checking Account","",""
"10/30/2022","Costco","Point Of Sale Withdrawal COSTCO WHSE #1232 COLUMBIA SCUS","64.59","debit","Groceries Costco","Joint Checking Account","",""
"10/30/2022","Point Of Sale Withdrawal LOFT 0965 COLUMBIA SCUS","Point Of Sale Withdrawal LOFT 0965 COLUMBIA SCUS","40.63","debit","Clothing","Joint Checking Account","",""
"10/29/2022","Point Of Sale Withdrawal TRADER JOE'S.#7 4516 FOREST DR COLUMBIA SCUS","Point Of Sale Withdrawal TRADER JOE'S.#7 4516 FOREST DR COLUMBIA SCUS","99.85","debit","Groceries","Joint Checking Account","",""
"10/29/2022","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","170.00","debit","Babysitter & Daycare","Joint Checking Account","",""
"10/29/2022","Withdrawal Internet Transfer to *9503 CK","Withdrawal Internet Transfer to *9503 CK","150.00","debit","Transfer","Joint Checking Account","",""
"10/29/2022","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","141.46","debit","Groceries","Joint Checking Account","",""
"10/28/2022","Withdrawal Internet Transfer to *9503 CK","Withdrawal Internet Transfer to *9503 CK","130.00","debit","Transfer","Joint Checking Account","",""
"10/28/2022","Point Of Sale Withdrawal SCGOV866-340-71 1016 BROADSTONE RD IRMO SCUS","Point Of Sale Withdrawal SCGOV866-340-71 1016 BROADSTONE RD IRMO SCUS","41.68","debit","Mortgage & Rent","Joint Checking Account","",""
"10/28/2022","External Withdrawal WF PL CC PAYMENT - PAYMENT","External Withdrawal WF PL CC PAYMENT - PAYMENT","300.00","debit","Credit Card Payment","Joint Checking Account","",""
"10/27/2022","Withdrawal Internet Transfer to *1171 MTG","Withdrawal Internet Transfer to *1171 MTG","1000.00","debit","Mortgage & Rent","Joint Checking Account","",""
"10/27/2022","External Withdrawal DOMINION ENERGY - DRAFT","External Withdrawal DOMINION ENERGY - DRAFT","186.66","debit","Utilities","Joint Checking Account","",""
"10/27/2022","External Withdrawal BARCLAYCARD US - CREDITCARD","External Withdrawal BARCLAYCARD US - CREDITCARD","248.29","debit","Credit Card Payment","Joint Checking Account","",""
"10/27/2022","Point Of Sale Withdrawal CIRCLE K # 06779 COLUMBIA SCUS","Point Of Sale Withdrawal CIRCLE K # 06779 COLUMBIA SCUS","30.00","debit","Gas & Fuel","Joint Checking Account","",""
"10/27/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","16.19","debit","Transfer","Joint Checking Account","",""
"10/26/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","8.55","debit","Transfer","Joint Checking Account","",""
"10/26/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","9.99","debit","Transfer","Joint Checking Account","",""
"10/26/2022","Amazon","Point Of Sale Withdrawal AMAZON PAYMENTS SEATTLE WAUS","23.58","debit","Amazon","Joint Checking Account","",""
"10/26/2022","Point Of Sale Withdrawal CIRCLE K # 06779 COLUMBIA SCUS","Point Of Sale Withdrawal CIRCLE K # 06779 COLUMBIA SCUS","53.97","debit","Gas & Fuel","Joint Checking Account","",""
"10/25/2022","External Withdrawal CHASE CREDIT CRD - AUTOPAY","External Withdrawal CHASE CREDIT CRD - AUTOPAY","400.00","debit","Credit Card Payment","Joint Checking Account","",""
"10/25/2022","External Withdrawal CAPITAL ONE AUTO - DIRECTPAY","External Withdrawal CAPITAL ONE AUTO - DIRECTPAY","452.11","debit","Auto Payment","Joint Checking Account","",""
"10/25/2022","Deposit Internet Transfer from *9503 CK","Deposit Internet Transfer from *9503 CK","1595.00","credit","Transfer","Joint Checking Account","",""
"10/25/2022","Point Of Sale Withdrawal BUCKS PIZZA TRYON NCUS","Point Of Sale Withdrawal BUCKS PIZZA TRYON NCUS","61.46","debit","Restaurants","Joint Checking Account","",""
"10/24/2022","Point Of Sale Withdrawal LOWES FOODS #268 LEXINGTON SCUS","Point Of Sale Withdrawal LOWES FOODS #268 LEXINGTON SCUS","26.57","debit","Shopping","Joint Checking Account","",""
"10/24/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","6.48","debit","Transfer","Joint Checking Account","",""
"10/24/2022","Point Of Sale Withdrawal CIRCLE K # 06779 COLUMBIA SCUS","Point Of Sale Withdrawal CIRCLE K # 06779 COLUMBIA SCUS","145.00","debit","Gas & Fuel","Joint Checking Account","",""
"10/24/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","10.65","debit","Transfer","Joint Checking Account","",""
"10/23/2022","Costco","Point Of Sale Withdrawal COSTCO WHSE #1232 COLUMBIA SCUS","88.37","debit","Groceries Costco","Joint Checking Account","",""
"10/23/2022","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","222.24","debit","Groceries","Joint Checking Account","",""
"10/23/2022","Point Of Sale Withdrawal CVS/PHARMACY # 5549--800 B NEWBERIRMO SCUS","Point Of Sale Withdrawal CVS/PHARMACY # 5549--800 B NEWBERIRMO SCUS","9.00","debit","Pharmacy","Joint Checking Account","",""
"10/22/2022","Withdrawal Internet Transfer to *9511 CK","Withdrawal Internet Transfer to *9511 CK","120.00","debit","Transfer","Joint Checking Account","",""
"10/22/2022","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","234.00","debit","Babysitter & Daycare","Joint Checking Account","",""
"10/22/2022","Point Of Sale Withdrawal REI #117 ASHEVI 31 SCHENCK PARKWAY ASHEVILLE NCUS","Point Of Sale Withdrawal REI #117 ASHEVI 31 SCHENCK PARKWAY ASHEVILLE NCUS","135.84","debit","Sporting Goods","Joint Checking Account","",""
"10/21/2022","Deposit Internet Transfer from *9511 CK","Deposit Internet Transfer from *9511 CK","2740.00","credit","Transfer","Joint Checking Account","",""
"10/21/2022","Point Of Sale Withdrawal O'DARBYS LIQUOR BARTAYLORS SCUS","Point Of Sale Withdrawal O'DARBYS LIQUOR BARTAYLORS SCUS","20.64","debit","Alcohol & Bars","Joint Checking Account","",""
"10/21/2022","Point Of Sale Withdrawal INGLES MARKETS 1851 HWY 14 E LANDRUM SCUS","Point Of Sale Withdrawal INGLES MARKETS 1851 HWY 14 E LANDRUM SCUS","14.54","debit","Groceries","Joint Checking Account","",""
"10/19/2022","External Withdrawal STATE FARM RO 27 - SFPP","External Withdrawal STATE FARM RO 27 - SFPP","311.67","debit","Auto Insurance","Joint Checking Account","",""
"10/19/2022","Murphy Express","Point Of Sale Withdrawal MURPHY EXPRESS 4448 SUNSET BLVD LEXINGTON SCUS","37.38","debit","Gas & Fuel","Joint Checking Account","",""
"10/19/2022","Point Of Sale Withdrawal TERMINIX SERVICE IN803-x1783 SCUS","Point Of Sale Withdrawal TERMINIX SERVICE IN803-x1783 SCUS","90.00","debit","Home Services","Joint Checking Account","",""
"10/19/2022","External Withdrawal USBANK LOAN - PAYMENT NTE*SPH*ACCT x5808 EFFECTIVE 10/18","External Withdrawal USBANK LOAN - PAYMENT NTE*SPH*ACCT x5808 EFFECTIVE 10/18","207.31","debit","Auto Payment","Joint Checking Account","",""
"10/18/2022","Point Of Sale Withdrawal PROJECT FRANKS - #6303-079-9009 SCUS","Point Of Sale Withdrawal PROJECT FRANKS - #6303-079-9009 SCUS","40.00","debit","Restaurants","Joint Checking Account","",""
"10/17/2022","Costco","Point Of Sale Withdrawal COSTCO WHSE #1232 COLUMBIA SCUS","219.85","debit","Groceries Costco","Joint Checking Account","",""
"10/17/2022","Point Of Sale Withdrawal RECREATION.GOV 877-444-6777 NMUS","Point Of Sale Withdrawal RECREATION.GOV 877-444-6777 NMUS","1.00","debit","Travel","Joint Checking Account","",""
"10/16/2022","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","25.79","debit","Groceries","Joint Checking Account","",""
"10/15/2022","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","144.77","debit","Groceries","Joint Checking Account","",""
"10/15/2022","Point Of Sale Withdrawal OLE TIMEY MEAT 6352 ST ANDREWS RD COLUMBIA SCUS","Point Of Sale Withdrawal OLE TIMEY MEAT 6352 ST ANDREWS RD COLUMBIA SCUS","65.97","debit","Groceries","Joint Checking Account","",""
"10/15/2022","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","170.00","debit","Babysitter & Daycare","Joint Checking Account","",""
"10/15/2022","Withdrawal Internet Transfer to *9511 CK","Withdrawal Internet Transfer to *9511 CK","100.00","debit","Transfer","Joint Checking Account","",""
"10/14/2022","Point Of Sale Withdrawal Prime Video*1Kx2888-802-3080 WAUS","Point Of Sale Withdrawal Prime Video*1Kx2888-802-3080 WAUS","10.69","debit","Movies & DVDs","Joint Checking Account","",""
"10/14/2022","Point Of Sale Withdrawal FOOD LION #2849 6021 SAINT ANDREWS COLUMBIA SCUS","Point Of Sale Withdrawal FOOD LION #2849 6021 SAINT ANDREWS COLUMBIA SCUS","9.78","debit","Groceries","Joint Checking Account","",""
"10/13/2022","Descriptive Deposit Mobile Deposit","Descriptive Deposit Mobile Deposit","122.69","credit","Transfer","Joint Checking Account","",""
"10/13/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","9.99","debit","Transfer","Joint Checking Account","",""
"10/12/2022","External Withdrawal WOFCSET - AUTO LOAN","External Withdrawal WOFCSET - AUTO LOAN","242.64","debit","Auto Payment","Joint Checking Account","",""
"10/12/2022","External Withdrawal CAPITAL ONE AUTO - DIRECTPAY","External Withdrawal CAPITAL ONE AUTO - DIRECTPAY","452.11","debit","Auto Payment","Joint Checking Account","",""
"10/11/2022","Murphy Express","Point Of Sale Withdrawal MURPHY EXPRESS 4448 SUNSET BLVD LEXINGTON SCUS","45.01","debit","Gas & Fuel","Joint Checking Account","",""
"10/11/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","16.33","debit","Transfer","Joint Checking Account","",""
"10/11/2022","Amazon","External Withdrawal AMZ_STORECRD_PMT - PAYMENT","400.00","debit","Amazon","Joint Checking Account","",""
"10/10/2022","Murphy Express","Point Of Sale Withdrawal MURPHY EXPRESS 8684LEXINGTON SCUS","48.40","debit","Gas & Fuel","Joint Checking Account","",""
"10/10/2022","Point Of Sale Withdrawal FOOD LION #2849 6021 SAINT ANDREWS COLUMBIA SCUS","Point Of Sale Withdrawal FOOD LION #2849 6021 SAINT ANDREWS COLUMBIA SCUS","10.07","debit","Groceries","Joint Checking Account","",""
"10/09/2022","Point Of Sale Withdrawal TRADER JOE'S.#7 4516 FOREST DR COLUMBIA SCUS","Point Of Sale Withdrawal TRADER JOE'S.#7 4516 FOREST DR COLUMBIA SCUS","95.08","debit","Groceries","Joint Checking Account","",""
"10/09/2022","Point Of Sale Withdrawal BUC-EE'S #53 FLORENCE SCUS","Point Of Sale Withdrawal BUC-EE'S #53 FLORENCE SCUS","92.89","debit","Gas & Fuel","Joint Checking Account","",""
"10/09/2022","Deposit Internet Transfer from *9503 CK","Deposit Internet Transfer from *9503 CK","1595.00","credit","Transfer","Joint Checking Account","",""
"10/08/2022","Withdrawal Internet Transfer to *9511 CK","Withdrawal Internet Transfer to *9511 CK","200.00","debit","Transfer","Joint Checking Account","",""
"10/08/2022","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","170.00","debit","Babysitter & Daycare","Joint Checking Account","",""
"10/07/2022","Chick-Fil-A","Point Of Sale Withdrawal CHICK-FIL-A #03138 803-356-1635 SCUS","11.04","debit","Entertainment","Joint Checking Account","",""
"10/07/2022","Point Of Sale Withdrawal BUC-EE'S #53 FLORENCE SCUS","Point Of Sale Withdrawal BUC-EE'S #53 FLORENCE SCUS","41.63","debit","Gas & Fuel","Joint Checking Account","",""
"10/07/2022","Point Of Sale Withdrawal PUBLIX PAWLEYS ISLAN SCUS","Point Of Sale Withdrawal PUBLIX PAWLEYS ISLAN SCUS","25.69","debit","Groceries","Joint Checking Account","",""
"10/06/2022","Point Of Sale Deposit SC PARK SERVICE COLUMBIA SCUS","Point Of Sale Deposit SC PARK SERVICE COLUMBIA SCUS","7.60","credit","Transfer","Joint Checking Account","",""
"10/06/2022","Deposit Internet Transfer from *9511 CK","Deposit Internet Transfer from *9511 CK","3200.00","credit","Transfer","Joint Checking Account","",""
"10/06/2022","Point Of Sale Deposit FLORIDA STATE PARKSTALLAHASSEE FLUS","Point Of Sale Deposit FLORIDA STATE PARKSTALLAHASSEE FLUS","111.33","credit","Transfer","Joint Checking Account","",""
"10/06/2022","External Withdrawal ATT - Payment","External Withdrawal ATT - Payment","290.58","debit","Home Phone","Joint Checking Account","",""
"10/06/2022","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","33.02","debit","Groceries","Joint Checking Account","",""
"10/06/2022","Check SERIAL #: 2558","Check SERIAL #: 2558","51.08","debit","Charity","Joint Checking Account","",""
"10/06/2022","Point Of Sale Withdrawal BUC-EE'S #53 3390 NORTH WILLISTOFLORENCE SCUS","Point Of Sale Withdrawal BUC-EE'S #53 3390 NORTH WILLISTOFLORENCE SCUS","23.83","debit","Gas & Fuel","Joint Checking Account","",""
"10/05/2022","Point Of Sale Withdrawal SC PARK SERVICE 803-734-1778 SCUS","Point Of Sale Withdrawal SC PARK SERVICE 803-734-1778 SCUS","247.50","debit","Travel","Joint Checking Account","",""
"10/05/2022","Costco","Point Of Sale Withdrawal COSTCO WHSE #1232 COLUMBIA SCUS","10.95","debit","Groceries Costco","Joint Checking Account","",""
"10/05/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","5.34","debit","Transfer","Joint Checking Account","",""
"10/05/2022","Costco","Point Of Sale Withdrawal COSTCO WHSE #1232 COLUMBIA SCUS","99.68","debit","Groceries Costco","Joint Checking Account","",""
"10/05/2022","Target","Point Of Sale Withdrawal TARGET T-1199 134 Harbison Blvd Columbia SCUS","28.54","debit","Target","Joint Checking Account","",""
"10/04/2022","Chick-Fil-A","Point Of Sale Withdrawal CHICK-FIL-A #03138 803-356-1635 SCUS","9.35","debit","Entertainment","Joint Checking Account","",""
"10/04/2022","Point Of Sale Withdrawal SC PARK SERVICE 803-734-1778 SCUS","Point Of Sale Withdrawal SC PARK SERVICE 803-734-1778 SCUS","198.00","debit","Travel","Joint Checking Account","",""
"10/02/2022","Point Of Sale Withdrawal AMZNFreeTime*143NE5888-802-3080 WAUS","Point Of Sale Withdrawal AMZNFreeTime*143NE5888-802-3080 WAUS","5.29","debit","Entertainment","Joint Checking Account","",""
"10/02/2022","Costco","Point Of Sale Withdrawal COSTCO WHSE #1232 COLUMBIA SCUS","146.32","debit","Groceries Costco","Joint Checking Account","",""
"10/01/2022","Point Of Sale Withdrawal Prime Video*142Fx1888-802-3080 WAUS","Point Of Sale Withdrawal Prime Video*142Fx1888-802-3080 WAUS","8.55","debit","Movies & DVDs","Joint Checking Account","",""
"10/01/2022","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","170.00","debit","Babysitter & Daycare","Joint Checking Account","",""
"10/01/2022","Point Of Sale Withdrawal CAROLINA AQUATICS WWW.TEAMUNIFY SCUS","Point Of Sale Withdrawal CAROLINA AQUATICS WWW.TEAMUNIFY SCUS","309.35","debit","Kids Activities","Joint Checking Account","",""
"10/01/2022","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","17.86","debit","Groceries","Joint Checking Account","",""
"10/01/2022","Point Of Sale Withdrawal WILD FLOWER SALON IRMO SCUS","Point Of Sale Withdrawal WILD FLOWER SALON IRMO SCUS","62.00","debit","Hair","Joint Checking Account","",""
"10/01/2022","Point Of Sale Withdrawal TRADER JOE'S.#7 4516 FOREST DR COLUMBIA SCUS","Point Of Sale Withdrawal TRADER JOE'S.#7 4516 FOREST DR COLUMBIA SCUS","69.23","debit","Groceries","Joint Checking Account","",""
"10/01/2022","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","144.17","debit","Groceries","Joint Checking Account","",""
"9/30/2022","Chick-Fil-A","Point Of Sale Withdrawal CHICK-FIL-A #03138 803-356-1635 SCUS","26.48","debit","Entertainment","Joint Checking Account","",""
"9/29/2022","External Withdrawal DOMINION ENERGY - DRAFT","External Withdrawal DOMINION ENERGY - DRAFT","240.01","debit","Utilities","Joint Checking Account","",""
"9/29/2022","Murphy Express","Point Of Sale Withdrawal MURPHY EXPRESS 4448 SUNSET BLVD LEXINGTON SCUS","28.15","debit","Gas & Fuel","Joint Checking Account","",""
"9/28/2022","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","218.96","debit","Groceries","Joint Checking Account","",""
"9/28/2022","External Withdrawal WF PL CC PAYMENT - PAYMENT","External Withdrawal WF PL CC PAYMENT - PAYMENT","300.00","debit","Credit Card Payment","Joint Checking Account","",""
"9/27/2022","External Withdrawal CAPITAL ONE AUTO - DIRECTPAY","External Withdrawal CAPITAL ONE AUTO - DIRECTPAY","452.11","debit","Auto Payment","Joint Checking Account","",""
"9/27/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","14.03","debit","Transfer","Joint Checking Account","",""
"9/27/2022","Withdrawal Internet Transfer to *1171 MTG","Withdrawal Internet Transfer to *1171 MTG","1000.00","debit","Mortgage & Rent","Joint Checking Account","",""
"9/26/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","7.70","debit","Transfer","Joint Checking Account","",""
"9/26/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","9.99","debit","Transfer","Joint Checking Account","",""
"9/26/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","8.55","debit","Transfer","Joint Checking Account","",""
"9/26/2022","External Withdrawal CHASE CREDIT CRD - AUTOPAY","External Withdrawal CHASE CREDIT CRD - AUTOPAY","400.00","debit","Credit Card Payment","Joint Checking Account","",""
"9/25/2022","Murphy Express","Point Of Sale Withdrawal MURPHY EXPRESS 8684LEXINGTON SCUS","31.18","debit","Gas & Fuel","Joint Checking Account","",""
"9/25/2022","Point Of Sale Withdrawal PETSMART # 0399 COLUMBIA SCUS","Point Of Sale Withdrawal PETSMART # 0399 COLUMBIA SCUS","23.53","debit","Pet Food & Supplies","Joint Checking Account","",""
"9/24/2022","Costco","Point Of Sale Withdrawal COSTCO WHSE #1232 COLUMBIA SCUS","163.66","debit","Groceries Costco","Joint Checking Account","",""
"9/24/2022","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","234.00","debit","Babysitter & Daycare","Joint Checking Account","",""
"9/24/2022","Murphy Express","Point Of Sale Withdrawal MURPHY EXPRESS 4448 SUNSET BLVD LEXINGTON SCUS","36.98","debit","Gas & Fuel","Joint Checking Account","",""
"9/23/2022","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","160.13","debit","Groceries","Joint Checking Account","",""
"9/23/2022","Deposit Internet Transfer from *9503 CK","Deposit Internet Transfer from *9503 CK","1595.00","credit","Transfer","Joint Checking Account","",""
"9/23/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","10.65","debit","Transfer","Joint Checking Account","",""
"9/23/2022","Point Of Sale Withdrawal TRADER JOE'S.#7 4516 FOREST DR COLUMBIA SCUS","Point Of Sale Withdrawal TRADER JOE'S.#7 4516 FOREST DR COLUMBIA SCUS","153.05","debit","Groceries","Joint Checking Account","",""
"9/22/2022","External Withdrawal PAYPAL x0921PPZ6C9 - INST XFER","External Withdrawal PAYPAL x0921PPZ6C9 - INST XFER","6.48","debit","Transfer","Joint Checking Account","",""
"9/22/2022","Deposit Internet Transfer from *9511 CK","Deposit Internet Transfer from *9511 CK","2551.00","credit","Transfer","Joint Checking Account","",""
